MQ2,MQ3,MQ4,MQ6,MQ7,MQ8,MQ135,target
0.74027,0.83665,1.26266,0.55089,0.72227,1.96106,0.99903,healthy
0.74327,0.83603,1.25454,0.55089,0.72252,1.96631,1.00278,healthy
0.74265,0.8364,1.26129,0.55089,0.7244,1.96619,1.00378,healthy
0.7449,0.83753,1.26504,0.55202,0.72315,1.96218,1.00366,healthy
0.74452,0.83565,1.26229,0.55039,0.72327,1.96731,1.00216,healthy
0.74477,0.83553,1.26429,0.55102,0.72327,1.96481,1.00478,healthy
0.74527,0.83553,1.26341,0.55052,0.72502,1.96756,1.00453,healthy
0.74652,0.83553,1.26416,0.55077,0.72377,1.96894,1.00528,healthy
0.74852,0.83565,1.26404,0.55064,0.7239,1.96931,1.00428,healthy
0.74765,0.83665,1.26741,0.55089,0.72552,1.96493,1.00566,healthy
0.75052,0.8374,1.26491,0.55077,0.72527,1.96681,1.00378,healthy
0.75015,0.83765,1.26729,0.55077,0.7259,1.96581,1.00378,healthy
0.75252,0.8374,1.26854,0.55064,0.72427,1.97069,1.00366,healthy
0.75252,0.8379,1.26966,0.55089,0.72565,1.96644,1.00391,healthy
0.75302,0.8379,1.26904,0.55114,0.72377,1.96506,1.00391,healthy
0.75352,0.83753,1.26979,0.55089,0.72302,1.96681,1.00416,healthy
0.74777,0.8369,1.26891,0.55114,0.72415,1.95618,1.00378,healthy
0.75327,0.83515,1.26616,0.55077,0.72165,1.96981,1.00366,healthy
0.75277,0.83515,1.26904,0.55102,0.72152,1.96456,1.00391,healthy
0.75277,0.83503,1.26604,0.55102,0.7209,1.96819,1.00566,healthy
0.75527,0.83665,1.26879,0.55089,0.72227,1.96481,1.00328,healthy
0.7549,0.83365,1.26554,0.55064,0.71965,1.96869,1.00528,healthy
0.75502,0.83578,1.26816,0.55114,0.72077,1.96343,1.00478,healthy
0.75715,0.8354,1.26754,0.55064,0.71977,1.96193,1.00278,healthy
0.75477,0.8359,1.26791,0.55089,0.71952,1.96894,1.00403,healthy
0.75377,0.8354,1.26754,0.55102,0.7194,1.96381,1.00216,healthy
0.75527,0.8334,1.26404,0.55089,0.71765,1.96018,1.00403,healthy
0.75777,0.83528,1.26729,0.55064,0.71727,1.96719,1.00391,healthy
0.7579,0.83403,1.26629,0.55102,0.71677,1.96306,1.00141,healthy
0.75802,0.83253,1.26379,0.55102,0.71777,1.96281,1.00141,healthy
0.75665,0.83253,1.26354,0.55064,0.71752,1.96268,1.00316,healthy
0.75702,0.82615,1.26341,0.55102,0.71565,1.96468,1.00316,healthy
0.75915,0.83403,1.26554,0.55089,0.71515,1.96218,1.00278,healthy
0.7574,0.83278,1.26479,0.55089,0.71652,1.96744,1.00341,healthy
0.75865,0.83265,1.26304,0.55077,0.71515,1.96556,1.00366,healthy
0.75927,0.83328,1.26666,0.55139,0.7154,1.96719,1.00391,healthy
0.7609,0.8334,1.26654,0.55064,0.7149,1.96644,1.00178,healthy
0.75915,0.83278,1.26379,0.55114,0.71652,1.96719,1.00128,healthy
0.76002,0.83153,1.26404,0.55102,0.7164,1.96543,1.00178,healthy
0.76265,0.83215,1.26554,0.55089,0.71515,1.96281,1.00266,healthy
0.76102,0.83265,1.26679,0.55114,0.71702,1.96318,1.00178,healthy
0.7614,0.83078,1.26404,0.55027,0.71652,1.96719,1.00353,healthy
0.76102,0.83215,1.26566,0.55077,0.71665,1.96343,1.00141,healthy
0.7639,0.83278,1.26704,0.55077,0.71552,1.96056,1.00141,healthy
0.7634,0.8309,1.26416,0.55127,0.71615,1.96806,1.00291,healthy
0.76427,0.83303,1.26691,0.55102,0.71602,1.96856,1.00503,healthy
0.76615,0.8329,1.26791,0.55114,0.71552,1.96831,1.00228,healthy
0.76515,0.83315,1.26729,0.55127,0.71702,1.96731,1.00191,healthy
0.76702,0.83178,1.26579,0.55027,0.71527,1.96769,1.00328,healthy
0.7649,0.83115,1.26629,0.55077,0.71702,1.96831,1.00416,healthy
0.76827,0.8324,1.26816,0.55064,0.71577,1.96806,1.00478,healthy
0.7674,0.8299,1.26541,0.55114,0.7169,1.96644,1.00466,healthy
0.76952,0.8304,1.26779,0.55064,0.71565,1.96343,1.00491,healthy
0.7679,0.83203,1.26654,0.55102,0.71727,1.96331,1.00316,healthy
0.77065,0.83015,1.26504,0.55014,0.71615,1.96581,1.00541,healthy
0.76977,0.83103,1.26804,0.55102,0.71815,1.96481,1.00378,healthy
0.7709,0.8309,1.26566,0.55114,0.71877,1.96944,1.00428,healthy
0.77315,0.83228,1.26954,0.55089,0.7169,1.96606,1.00428,healthy
0.77202,0.8304,1.26629,0.55077,0.7194,1.96769,1.00416,healthy
0.77427,0.83203,1.26691,0.55077,0.71802,1.97069,1.00466,healthy
0.77315,0.8309,1.26754,0.55064,0.71915,1.97106,1.00628,healthy
0.7749,0.82553,1.26741,0.55014,0.71877,1.97069,1.00541,healthy
0.77627,0.83203,1.27054,0.55002,0.71977,1.96531,1.00428,healthy
0.7754,0.8299,1.26804,0.55064,0.72027,1.96669,1.00491,healthy
0.77765,0.83065,1.26791,0.55052,0.71852,1.96669,1.00453,healthy
0.77665,0.8289,1.26754,0.55089,0.72052,1.97119,1.00491,healthy
0.7769,0.82965,1.26841,0.55102,0.72002,1.97131,1.00603,healthy
0.77977,0.83265,1.27241,0.55052,0.7199,1.96593,1.00591,healthy
0.77827,0.82965,1.26829,0.55102,0.72115,1.97156,1.00678,healthy
0.7784,0.82965,1.26916,0.55114,0.7209,1.97131,1.00766,healthy
0.7804,0.8314,1.27104,0.55102,0.7209,1.96481,1.00491,healthy
0.7794,0.82928,1.26879,0.55089,0.7204,1.96894,1.00478,healthy
0.78165,0.83003,1.27041,0.55064,0.72002,1.96631,1.00428,healthy
0.77965,0.8294,1.26904,0.55089,0.72015,1.96506,1.00441,healthy
0.78127,0.82878,1.26891,0.55052,0.71952,1.96356,1.00566,healthy
0.78102,0.82865,1.26829,0.55077,0.72027,1.96881,1.00441,healthy
0.7834,0.83053,1.27116,0.55052,0.71852,1.96994,1.00416,healthy
0.78215,0.83003,1.26904,0.55077,0.72015,1.97094,1.00478,healthy
0.78315,0.8294,1.27204,0.55027,0.7184,1.97044,1.00803,healthy
0.78427,0.83065,1.27241,0.55027,0.71902,1.97106,1.00803,healthy
0.7834,0.8304,1.27266,0.55052,0.72065,1.97056,1.00566,healthy
0.78577,0.8289,1.27066,0.55039,0.71865,1.97056,1.00741,healthy
0.7834,0.82903,1.27104,0.55089,0.72027,1.97131,1.00728,healthy
